sensor_id,parameter,parameter_units,value,date,latitude,longitude
4275959,no,µg/m³,7.6,2022-12-22,52.389983000188224,4.88781099987638
4275959,no,µg/m³,11.0,2022-12-23,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.3,2022-12-24,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.6,2022-12-25,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.2,2022-12-26,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.4,2022-12-27,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.5,2022-12-28,52.389983000188224,4.88781099987638
4275959,no,µg/m³,8.0,2022-12-29,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.6,2022-12-30,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.9,2022-12-31,52.389983000188224,4.88781099987638
4275959,no,µg/m³,13.0,2023-01-01,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.9,2023-01-02,52.389983000188224,4.88781099987638
4275959,no,µg/m³,6.0,2023-01-04,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.9,2023-01-05,52.389983000188224,4.88781099987638
4275959,no,µg/m³,10.0,2023-01-06,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.0,2023-01-07,52.389983000188224,4.88781099987638
4275959,no,µg/m³,11.0,2023-01-08,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.6,2023-01-10,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.8,2023-01-11,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.6,2023-01-12,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.3,2023-01-14,52.389983000188224,4.88781099987638
4275959,no,µg/m³,19.0,2023-01-15,52.389983000188224,4.88781099987638
4275959,no,µg/m³,11.0,2023-01-16,52.389983000188224,4.88781099987638
4275959,no,µg/m³,12.0,2023-01-17,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.7,2023-01-18,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.1,2023-01-19,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.3,2023-01-20,52.389983000188224,4.88781099987638
4275959,no,µg/m³,12.0,2023-01-22,52.389983000188224,4.88781099987638
4275959,no,µg/m³,17.0,2023-01-23,52.389983000188224,4.88781099987638
4275959,no,µg/m³,8.4,2023-01-24,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.2,2023-01-25,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.0,2023-01-26,52.389983000188224,4.88781099987638
4275959,no,µg/m³,8.9,2023-01-27,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.3,2023-01-28,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.5,2023-01-29,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.0,2023-01-30,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.3,2023-01-31,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.8,2023-02-01,52.389983000188224,4.88781099987638
4275959,no,µg/m³,31.0,2023-02-02,52.389983000188224,4.88781099987638
4275959,no,µg/m³,110.0,2023-02-04,52.389983000188224,4.88781099987638
4275959,no,µg/m³,46.0,2023-02-05,52.389983000188224,4.88781099987638
4275959,no,µg/m³,36.0,2023-02-06,52.389983000188224,4.88781099987638
4275959,no,µg/m³,20.0,2023-02-07,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.8,2023-02-08,52.389983000188224,4.88781099987638
4275959,no,µg/m³,10.0,2023-02-10,52.389983000188224,4.88781099987638
4275959,no,µg/m³,11.0,2023-02-11,52.389983000188224,4.88781099987638
4275959,no,µg/m³,59.0,2023-02-12,52.389983000188224,4.88781099987638
4275959,no,µg/m³,7.7,2023-02-14,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.5,2023-02-15,52.389983000188224,4.88781099987638
4275959,no,µg/m³,3.3,2023-02-16,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.2,2023-02-17,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.2,2023-02-18,52.389983000188224,4.88781099987638
4275959,no,µg/m³,6.7,2023-02-19,52.389983000188224,4.88781099987638
4275959,no,µg/m³,38.0,2023-02-20,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.3,2023-02-22,52.389983000188224,4.88781099987638
4275959,no,µg/m³,0.6,2023-02-23,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.2,2023-02-24,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.5,2023-02-25,52.389983000188224,4.88781099987638
4275959,no,µg/m³,0.2,2023-02-26,52.389983000188224,4.88781099987638
4275959,no,µg/m³,11.0,2023-02-27,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.0,2023-02-28,52.389983000188224,4.88781099987638
4275959,no,µg/m³,12.0,2023-03-01,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.8,2023-03-02,52.389983000188224,4.88781099987638
4275959,no,µg/m³,7.9,2023-03-04,52.389983000188224,4.88781099987638
4275959,no,µg/m³,9.6,2023-03-05,52.389983000188224,4.88781099987638
4275959,no,µg/m³,8.5,2023-03-06,52.389983000188224,4.88781099987638
4275959,no,µg/m³,7.4,2023-03-07,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.3,2023-03-08,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.8,2023-03-10,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.9,2023-03-11,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.5,2023-03-12,52.389983000188224,4.88781099987638
4275959,no,µg/m³,6.7,2023-03-14,52.389983000188224,4.88781099987638
4275959,no,µg/m³,47.0,2023-03-15,52.389983000188224,4.88781099987638
4275959,no,µg/m³,9.6,2023-03-16,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.0,2023-03-17,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.6,2023-03-18,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.3,2023-03-19,52.389983000188224,4.88781099987638
4275959,no,µg/m³,13.0,2023-03-20,52.389983000188224,4.88781099987638
4275959,no,µg/m³,3.3,2023-03-22,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.8,2023-03-23,52.389983000188224,4.88781099987638
4275959,no,µg/m³,3.5,2023-03-24,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.8,2023-03-25,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.8,2023-03-26,52.389983000188224,4.88781099987638
4275959,no,µg/m³,20.0,2023-03-27,52.389983000188224,4.88781099987638
4275959,no,µg/m³,3.4,2023-03-28,52.389983000188224,4.88781099987638
4275959,no,µg/m³,12.0,2023-03-29,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.0,2023-03-30,52.389983000188224,4.88781099987638
4275959,no,µg/m³,1.0,2023-03-31,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.5,2023-04-01,52.389983000188224,4.88781099987638
4275959,no,µg/m³,9.9,2023-04-02,52.389983000188224,4.88781099987638
4275959,no,µg/m³,15.0,2023-04-03,52.389983000188224,4.88781099987638
4275959,no,µg/m³,14.0,2023-04-04,52.389983000188224,4.88781099987638
